ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
ရပ်ကွက်၊ကျိုက်လတ်မြို့|Ward, Kyite Latt City
မယ်ရပ်ကုန်းကျေးရွာ|Malyetkone village
ကွမ်းခြံကုန်းမြို့|Kwinchankone city
ပေတောကျေးရွာ|PayTaw Village
အိုင်သာအုပ်စု၊ ငါန်းဇွန်မြို့နယ်|AiThar Group, NgaZon Township
ကရင်မြောင်ကြီး၊ ကညွတ်ကျွန်း|Karen Myong Asparagus Island
ကန်ကြီးထောင့်မြို့နယ်|Kankyukon Township
ဒါးလက်(တောင်ရွာ)|DarLat(South Village)
အမ်းမြို့နယ်|Ann Township
သီရိရတနာ(၁)လမ်း|Thiriyadanar(1) Street
အမှတ်(၅)ရပ်ကွက်၊ ဘားအံမြို့|No(5)Ward, Hpa-An City
ထမုန်ကန်ရွာ၊ မိတ္ထီလာမြို့နယ်|HtaMoneKan, MeikHtiLa Township
သီရိမင်္ဂလာရပ်|Thiri Mingalar Ward
အမှတ်(၁) ညောင်ဦးမြို့|No. (1) Nyaung Oo township
မန်းကလဲငုတောကျေးရွာ|Man Kalae Ngu Taw Township
ဝါးခယ်မမြို့နယ်|Wah Khal Ma Township
တစ်ကလေး၊ ခွန်သာအုပ်စု|Tit Kalay, Khun Thar Group
ဗန်းမော်မြို့နယ်|Ban Maw Township
ဆောင်းဖိုး(စ) ရွာ၊ ကက္ကူ|Saungpho(Sa) village, Katkue
အုပ်စု ကျောက်တလုံးကြီးမြို့|Group Kyauktalonekyi City
ကျွန်းပြားရွာ|KyunPyar Village
မင်းဘူးမြို့နယ်|MinBu Township
စုန်းကျင်း(တ)ရွာ|Sone Kyin (ta) Village
ယင်းမာပင်မြို့နယ်|Yin Mar Pin Township
၁/၁၂ ၄၅၃ ရွှေဥဒေါင်|1/12 453 shwe au daung
လမ်း ၁ရပ်ကွက်|Str  1 Qtr
၃၂၃ ထပရ|323 Hta Pa Ra 
မင်္ဂလာဒုံ|Mingalardon
အမှတ်၁ ရပ်ကွက်|No 1Qtr
တောင်သာမြို့နယ်|Taung Thar Township
ပင်းတလဲရွာ|Pintalae VIllage
ဝမ်းတွင်းမြို့နယ်|Wan Twin Township
တဲစုရွာ  ကြခတ်အုပ်စု|Tae Su Village, KyaKhat Group
ပြည်မြို့နယ်|Pyay Township
ပျဥ်းမကုန်းကျေးရွာ|Pian Ma Kone Village
ခရမ်းမြို့နယ်|Kha Yan Township
ငါးတပုံ(တ)ရွာ၊|Ngar Ta Pone (Ta) Village 
မလှိုင်မြို့နယ်။|MaHlaing Township
၃-တော်ကနာကျေးရွာ|3-Taw Ka Nar Village
ချောင်းဆုံမြို့နယ်|Chaung Sone Township
ဝက်ထိုးကျေးရွာ|Wat Htoo Village
ကန်ကြီးတောင်မြို့နယ်|Kan Gyi Toung Township
ဘလောက်ညောင်ဝိုင်း|BaLout NyaungWine
ရွာ၊ မုဒုံမြို့|Village, MuDone City
အောက်ကျောင်းတောင်|Aut Kyaung Taung
ရသေ့တောင်မြို့နယ်|Yaythaetaung Township
ဗန္ဓုလရပ်ကွက်|Bandoola Ward
မုံရွာမြို့|Monywa city
ဇီးဖြူထောင်ရွာ|Zee Phyu Htaung Village
ရေးမြို့နယ်|Yay Township
အောင်သာယာရွာ|Aung Thar Yar Group
ခမောက်ကြီးမြို့|Kamout Gyi City 
ကံပြားရွာ၊ ကံပြားအုပ်|KanPyar Village, KanPyar 
စု၊  စလင်းမြို့နယ်|Group, SaLin Township
၈/၂၀၉ ကမ်းနားလမ်း|8/209 KanNarStreet
တောင်ငူမြို့|TaungNgu City
ထင်းပုံဆိပ်|HtinPoneSate
ရယက ၉၊ ပုသိမ်မြို့|YaYaKa 9, Pathein City
ကျားမသောက်ကျေးရွာ|Kyar Ma Thauk Village
စစ်တွေမြို့နယ်|Sittwe Township
စပါးအိုးအ‌နောက် ပေါက်|Sapar Oh Anaut Pouk
နွယ်စမ်းအုပ်စု၊ ကြံခင်းမြို့နယ်|Nwe San Group, Kyan Khin Township
ဇလဲရွာမ လွယ်တော်|Zalae Yar ma Lwal Taw
အုပ်စု တောင်ကြီးမြို့နယ်|Group Taung Gyi township
ကမားတောညို|KamarTawNyo
လွေကွဲလဟာအုပ်စု , ကျောင်းကုန်း|LwaeKweLaHar Group, Kyaung kone
ရွာသစ်ကလေးရွာ|Ywar Thit Ka Lay Village
မြစ်သားမြို့နယ်|Myit Thar Township
ပိန်းကောမရွာ၊ သာနု|PainKawMa Village, TharNu
ချောင်းအုပ်စု၊ ဇလွန်မြို့|Chaung Group, Zalon City
မြို့သစ် , ဇေယျဝတီ |Myo Thit , ZayYaWadi
မြို့မ ၁ ရပ်ကွက် , ဖြူးမြို့|Myoma 1 Ward, Phu City
သစ်ရောင်း|Thit Young
ငရုတ်ကောင်းမြို့နယ်|Nga Yot Koung Township
မြင်သာရပ်၊၂၃ လမ်း|Myin Thar Yap,23 Street
မကွေးမြို့|Ma Gae City
ကုန်းရွာကျေးရွာ |Kone Ywar Village 
တပ်ကုန်းမြို့|Tatt Kone city 
ခမရ(၁၀၂)၊ မုတ္တမ|Kamaya(102) , Moat Ta Ma 
ပေါင်မြို့နယ် |Paung Township
စက်ပစ်တောင်ရွာ၊|SatPyitTaung Village
မိတ္ထီလာမြို့|Meikhtila City
ရွှေသာလျောင်လမ်း|Shwe Thar Long Street
ဆံတော်ပြည့်|San Tall Pyae
သစ်ပုတ်ပင်ရွာ|Thit Poke Pin Village
လယ်ဝေးမြို့နယ်|Lal Wae Township
အုတ်သျှစ်ပင်|Oatshipin 
ပန်းတောင်းမြို့|Pantaung City
တာခြောက်ရွာ၊ ခမုံအုပ်စု|Tar Chauk Village, Kha Mon Group
လက်ပံတန်းမြို့နယ်|Latpan tan Township
နောင်ကားရွာကြီး , နောင်ကားအုပ်စု|NaungKar Village, NaungKar Group
ကျောက်တထုံးကြီးမြို့|Kyauk TaHtone Gyi City
မြင်းနီ|Myin Ni
နွာထိုးကြီးမြို့နယ်|Nug Htoo Gyi Township
ရွာမ၊ပျဉ်းမနားဟောင်း|Ywar Ma, Pyin Ma Nar Haung 
အုပ်စု၊ ပျဉ်းမနားမြို့|Group, Pyin Ma Nar City 
မကျီးကုန်းရွာ|MaGyeeKone Village
ရမည်းသင်းမြို့|YaMeThin City
မြသိန်းတန်ရပ်ကွက်|MyaTheinTan Ward
ဝါးခယ်မမြို့|Wakema City
နှင်းဆီရွာ |hninsi village
မိုးမောက်မြို့နယ်|Moemouth Township
အောင်းကုန်းရွာအုပ်စု|Aunggon village group 
လယ်ဝေးမြို့နယ်|Lalway township 
ထုံးကြီးကျေးရွာ|Htone Gyi Village
သုံးခွမြို့|Thone Gwa City
လတ်ပံချောင်အုပ်စု|Latt Pan Chaung Group
ကျောင်းကုန်းမြို့|Kyaung Kone City
တောပွရွာ|Taw Pwa Village
မြင်းခြံမြို့နယ်|Myin Chan Township
လ/မြောက်အုပ်စု|la/myaught Group
လပ္ပတ္တာမြို့နယ်|Lattputtar Township
ရွှေပန်းရွာ အုပ်စု|shwepan village group
မြို့သစ်မြို့|Myothit City
မုရစ်ကလေးကျေးရွာ(၁၃)|Mu Yick Ka Lay Village(13)
ချောင်းဆုံမြို့|Chaung Sone City
ကံသာကြီး၊ ပွင့်ဖြူမြို့|KanTharGyi, PwintPhyu City
ကျွဲမြီးဆွဲရွာ၊ ပိန်းအင်းအုပ်စု|Kyawe Hmee Swal Village, Pain In Group
လေးမျက်နှာမြို့နယ်|Lay Myat Nar Township
၁/၁၂/၅၆ မဟော်သဓာလမ်း|1/12/56 Mahaw Tha Dar Streeet
၁ ရပ်ကွက်|1 Ward
ဒိုးတန်းငူ၊ ဇရပ်လှ|Doe Tan Ngu, Zayet Hla
ကျုံပျော်မြို့|Kyone Pyaw Township
အင်းဝလမ်း|InnWa Street
မိုးညိုတန်းရပ်ကွက်|MoeNyoTan Ward
ဂုဏ်ရွာကျေးရွာ|GoneYwa Village
ဝမ်းတွင်းမြို့နယ်|Wundwin Township
ရွာလေးကုန်းကျေးရွာ|YwaLayKone Village
ထန်းတပင်မြို့နယ်|HtanTaPin Township
စံပြ|sanpya
စဥ့်ကိုင်မြို့နယ်|Sintkaing Township
ထီရီးရွာ|TeeyeeVillage
နန်းပုလင်းအုပ်စု|NanPaLin Group
နောင်ကရားမြို့|NaungKaYar City
အင်းကျော်ကျေးရွာ|Inn Kyaw Village
ထန်းတပင်မြို့နယ်|Htan Ta Pin Township
လက်ပံကျင်း(တ)ရွာ၊လက်ပံကျင်းအုပ်စု|Lat Pan Kyin(Ta)Village, Latt Pan Kyin Group
ငါန်းဇွန်မြို့နယ်|Ngan Zoon Township
လေးတိုင်စင်(တ)ရွာ၊|Lay Taing Sin (Ta) Village 
လေးတိုင်စင်အုပ်စု၊ မြို့သစ်မြို့|Lay Taing Sin Group, Myoe Thit City 
ထန်းပင်ကိုင်းရွာ |Htan Pin Kaing Village
ကြာတော|Kyar Taw 
ကဝ|Kawa 
ဘုရားကြီး|Phayar Gyi 
ပဲခူးမြို့|Bago City 
အောင်ဇေယျရပ်ကွက်|Aung Zay Ya Ward 
သံဖြူဇရပ်မြို့|Than Phyu Zayat City 
တဲချောင်းရွာ၊ အုပ်စု|Tae Chaung Village , Group
ကျောက်ဖြူမြို့နယ်|Kyauk Phyu Township
တောင်ရှမ်းစုလမ်း|South Shan Su Street
လှိုင်ရပ်ကွက်၊ မော်လမြိုင်မြို့|Hlaing Ward , Mawlamyaing City
ခင်တိုကျေးရွာ|Khin To Village
ကျောက်တံခါးမြို့နယ်|Kyout Ta Khar Township
ဝါခင်းကြီးရွာ၊ ညောင်ဦး|War Khin Gyi Village, Nyaung Oo
မြို့နယ် |Township
သက္ကယ်ချောင်းကျေးရွာ|That Kae Thaung Village, Group
ဒေးဒရဲမြို့နယ်|Daydaye Township
စက်မှုဇုံ|Sat Mu Zone
ရပ်ကွက် ၁၂|Ward 12
သပြေလှရွာ ၊ချင်းခင်|TaPyay Hla Village,Chin Khin
ကျေးရွာအုပ်စု ၊ဖြူးမြို့|Village Group,Phyuu city
လယ်ကိုင်းကျေးရွာ|LalKaing Village
ပွင့်ဖြူမြို့နယ်|Pwint Phyu Township
ပျဉ်းမနားမြို့|PyinMaNa City
ကုန်းကန်ရွာ|KoneKan Village
ရေနံချောင်းမြို့နယ်|YayNanChaung Township
စုကြီးရပ်|SuGyi Yat
ကျောက်ဆည်|KyaukSe
တဆက တပ်ကြီးကုန်း|Ta Sa Ka Tatt Gyi Kone 
မှော်ဘီမြို့|Hmaw Bi City
ဖာလာလမ်း၊၁ ရပ်ကွက်|Phar Lar Street, 1 Ward
ဒေးဒရဲးမြို့|Day Da Yae City
ကုန်းသာရွာ၊ကုန်းသာ|Kone Thar Village,Kone Thar
အုပ်စု ၊မြောင်းမြမြို့နယ်|Group,Myaung Mya Township
ဇရပ်ကြီး၊ တန့်ဆယ်မြို့|ZaYatGyi, TantSel Myoe
နယ်|Nal
မဲဇလီကျေးရွာ၊မဲဇလီ|Melzali village,melzali
အုပ်စု၊ပုသိမ်မြို့|Group, Pathein city
မင်းတုန်းရွာ၊ကြာကန်အုပ်|Mintone village,kyarkan group
စု၊မြောင်းမြမြို့နယ်|Myaung Mya township 
ဝန်ထမ်းအိမ်ရာ၊ ဥပ္ပုံစုရပ်ကွက်|Staff Housing, Oak Pan Su Ward
တိုက်ကြီးမြို့နယ်|Taik Gyi Township
လှော်ကားကျေးရွာ|Hlaw Kar Village
ဆောမြို့နယ်|Saw Township
မြို့မ(၁)|Myoe Ma (1) 
ပြွန်တန်ဆာမြို့|Pyon Tan Sar City 
ကျောက်စွယ်ကျိုးရွာ |Kyauk Sae Kyoe Village 
အောင်လံမြို့နယ် |Aung Lan Township
သရက်ကုန်းရွာ|Thatyatkhone village 
ပဲခူး|Bago 
ဒေါင့်ကြီးကျေးရွာ|Dauntgyi village 
ငပုတောမြို့|Ngaputaw township 
မွန်ပိုင်း၊ တနေဝကျွန်း|MonPie, TaNayWa Kyun
ဝေါ|Wall
ဝမ်းဘဲအင်း|Wanbaeinn
ပဲခူးမြို့|Bago City
ပါပုန်ကျေးရွာ|Par Pon Village
ဗန်‌ဆာင်မြို့နယ်|Van Saung Township
ဘုရားကြီးကုန်းရွာ၊|Phayar Gyi Kone Village 
ဇီးကုန်းမြို့နယ် |Zee Kone Township
ဂုံညှင်းတန်းရွာ၊|Gone Hnyin Tan Village 
ဂုံညှင်းတန်းအုပ်စု|Gone Hnyin Tan Group
သက်ကယ်ပြင်ရွာ၊ မြောက်ကုန်းကြီးအုပ်စု|ThatKaePyin Village, Myaik Kone Gyi Group
ပေါင်းတည်မြို့|Paung Te City
